halId_s,uri_s,title_s,authFullName_s,producedDate_s,producedDateY_i,journalTitle_s,conferenceTitle_s,country_s
hal-04635889,https://inria.hal.science/hal-04635889v1,Actes du Défi Fouille de Textes@TALN 2024,"Richard Dufour,Benoît Favre,Mickaël Rouvier,Adrien Bazoge,Yanis Labrak",2024,2024,,35èmes Journées d'Études sur la Parole (JEP 2024) 31ème Conférence sur le Traitement Automatique des Langues Naturelles (TALN 2024) 26ème Rencontre des Étudiants Chercheurs en Informatique pour le Traitement Automatique des Langues (RECITAL 2024),
hal-04617831,https://hal.science/hal-04617831v1,Renard: Relationships Extraction from NARrative Documents,"Arthur Amalvy,Vincent Labatut,Richard Dufour",2024,2024,,,
hal-04615039,https://hal.science/hal-04615039v2,A Paradigm for Interpreting Metrics and Measuring Error Severity in Automatic Speech Recognition,"Thibault Bañeras-Roux,Mickael Rouvier,Jane Wottawa,Richard Dufour",2024,2024,,"Text, Speech and Dialogue",cz
hal-04584931,https://hal.science/hal-04584931v1,A Comprehensive Analysis of Tokenization and Self-Supervised Learning in End-to-End Automatic Speech Recognition applied on French Language,"Thibault Bañeras-Roux,Mickael Rouvier,Jane Wottawa,Richard Dufour",2024,2024,,32th European Signal Processing Conference (EUSIPCO),fr
hal-04264675,https://hal.science/hal-04264675v1,Harnessing GPT-3.5-turbo for Rhetorical Role Prediction in Legal Cases,"Anas Belfathi,Nicolas Hernandez,Laura Monceaux",2023-12-18,2023,,JURIX 2023 - The 36th International Conference on Legal Knowledge and Information Systems,nl
hal-04347465,https://hal.science/hal-04347465v1,Applying Natural Language Processing to Textual Data From Clinical Data Warehouses: Systematic Review,"Adrien Bazoge,Emmanuel Morin,Béatrice Daille,Pierre-Antoine Gourraud",2023-12-15,2023,JMIR Medical Informatics,,
hal-04237987,https://hal.science/hal-04237987v2,Learning to Rank Context for Named Entity Recognition Using a Synthetic Dataset,"Arthur Amalvy,Vincent Labatut,Richard Dufour",2023-12-06,2023,,Conference on Empirical Methods in Natural Language Processing (EMNLP),sg
hal-04125590,https://hal.science/hal-04125590v1,"HATS: An Open data set Integrating Human Perception Applied to the Evaluation of Automatic Speech Recognition Metrics,HATS : Un jeu de données intégrant la perception humaine appliquée à l'évaluation des métriques de transcription de la parole","Thibault Bañeras-Roux,Jane Wottawa,Mickael Rouvier,Teva Merlin,Richard Dufour",2023-09-04,2023,,"Text, Speech and Dialogue 2023 - Interspeech Satellite",cz
hal-04092431,https://hal.science/hal-04092431v2,The Role of Global and Local Context in Named Entity Recognition,"Arthur Amalvy,Vincent Labatut,Richard Dufour",2023-07-09,2023,,61st Annual Meeting of the Association for Computational Linguistics (ACL),ca
hal-04056658,https://hal.science/hal-04056658v1,DrBERT: A Robust Pre-trained Model in French for Biomedical and Clinical domains,"Yanis Labrak,Adrien Bazoge,Richard Dufour,Mickael Rouvier,Emmanuel Morin,Béatrice Daille,Pierre-Antoine Gourraud",2023-07-09,2023,,61th Annual Meeting of the Association for Computational Linguistics (ACL'23),ca
